t_s,cumulative_gib,write_mbs
1082.5,293.242,139.3
1083.5,293.370,137.6
1084.5,293.498,137.8
1085.5,293.627,137.6
1086.5,293.749,131.2
1087.5,293.956,222.6
1088.5,294.467,548.1
1089.5,294.927,493.9
1090.5,295.172,262.9
1091.5,295.300,137.5
1092.5,295.429,137.8
1093.5,295.557,137.6
1094.5,295.679,131.5
1095.5,295.812,142.5
1096.5,295.936,132.6
1097.5,296.076,150.2
1098.5,296.453,405.1
1099.5,296.882,460.6
1100.5,297.256,401.3
1101.5,297.452,210.1
1102.5,297.586,144.0
1103.5,297.714,137.6
1104.5,297.843,137.8
1105.5,297.971,137.6
1106.5,298.099,137.0
1107.5,298.221,131.9
1108.5,298.400,192.0
1109.5,298.898,533.7
1110.5,299.394,532.0
1111.5,299.644,268.8
1112.5,299.773,137.7
1113.5,299.901,137.6
1114.5,300.029,137.6
1115.5,300.157,137.8
1116.5,300.286,137.5
1117.5,300.412,135.8
1118.5,300.548,145.9
1119.5,300.919,398.2
1120.5,301.459,579.7
1121.5,301.778,342.1
1122.5,301.964,199.7
1123.5,302.093,138.0
1124.5,302.221,137.1
1125.5,302.344,132.1
1126.5,302.470,135.8
1127.5,302.594,132.9
1128.5,302.725,139.9
1129.5,302.908,197.4
1130.5,303.438,568.2
1131.5,303.896,491.3
1132.5,304.134,255.9
1133.5,304.262,137.6
1134.5,304.391,137.8
1135.5,304.519,137.6
1136.5,304.645,134.7
1137.5,304.775,140.4
1138.5,304.904,137.8
1139.5,305.044,150.2
1140.5,305.344,321.7
1141.5,305.876,571.5
1142.5,306.228,377.5
1143.5,306.420,206.6
1144.5,306.549,137.8
1145.5,306.677,137.8
